Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %
jmeter_login_and_view_dashboard,200,327,300,366,413,767,268,1209,0.0
jmeter_view_issue,18203,130,126,146,159,192,93,1662,0.0
jmeter_view_dashboard,5080,206,199,234,251,287,168,1229,0.0
jmeter_search_jql,5503,388,378,429,447,492,319,1790,0.0
jmeter_view_backlog,2540,208,202,231,247,279,180,1843,0.0
jmeter_create_issue:open_quick_create,1693,60,56,66,72,108,48,1083,0.0
jmeter_create_issue:fill_and_submit_issue_form,1693,137,132,150,162,195,120,840,0.0
jmeter_view_project_summary,1693,130,128,144,157,187,101,402,0.0
jmeter_edit_issue:open_editor,1693,59,57,63,68,103,50,150,0.0
jmeter_edit_issue:save_edit,1693,213,204,250,280,345,140,539,0.0
jmeter_browse_projects,1693,36,35,40,44,53,30,115,0.0
jmeter_view_kanban_board,1270,169,158,205,223,262,124,512,0.0
jmeter_view_scrum_board,1270,82,75,104,112,142,60,252,0.0
jmeter_add_comment:open_comment,847,48,45,60,66,95,35,190,0.0
jmeter_add_comment:save_comment,847,119,115,137,149,179,95,205,0.0
jmeter_browse_boards,847,50,48,54,57,92,41,530,0.0
selenium_login:open_login_page,237,99,97,102,105,119,90,493,0.0
selenium_login:login_and_view_dashboard,237,489,472,510,523,945,426,2334,0.0
selenium_login,237,589,571,609,621,1042,522,2828,0.0
selenium_browse_projects_list,237,272,258,328,339,356,214,526,0.0
selenium_browse_boards_list,237,278,256,268,276,722,245,3227,0.0
selenium_create_issue:open_quick_create,237,724,733,765,777,803,635,1069,0.0
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,237,610,607,613,618,634,597,1118,0.0
selenium_create_issue:fill_and_submit_issue_form,237,1153,1153,1195,1202,1232,1046,1771,0.0
selenium_create_issue,237,1878,1884,1944,1961,1994,1692,2841,0.0
selenium_edit_issue:open_edit_issue_form,237,541,560,602,625,701,407,1187,0.0
selenium_edit_issue:save_edit_issue_form,237,548,549,585,616,686,477,790,0.0
selenium_edit_issue,237,1487,1477,1535,1574,1795,1391,2316,0.0
selenium_save_comment:open_comment_form,237,355,355,402,418,446,238,449,0.0
selenium_save_comment:submit_form,237,706,697,745,773,859,565,1682,0.0
selenium_save_comment,237,1210,1202,1257,1293,1502,1016,2207,0.0
selenium_search_jql,237,1170,1156,1199,1220,1248,1124,2679,0.0
selenium_view_scrum_board_backlog,237,1140,1275,1319,1330,1442,770,3197,0.0
selenium_view_scrum_board,237,803,798,871,880,906,300,2461,0.0
selenium_view_kanban_board,237,714,716,978,1044,1300,323,1526,0.0
selenium_view_dashboard,237,462,469,649,676,727,214,789,0.0
selenium_view_issue,237,598,589,672,693,735,458,1400,0.0
selenium_project_summary,237,416,405,486,513,536,272,1690,0.0
selenium_log_out,237,310,307,333,345,369,267,383,0.0
