Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %
jmeter_login_and_view_dashboard,200,507,354,424,470,7733,312,11699,0.0
jmeter_view_issue,18195,172,162,203,243,320,128,1212,0.0
jmeter_view_dashboard,5078,253,246,290,311,352,200,1282,0.0
jmeter_search_jql,5501,443,433,491,513,557,365,1757,0.0
jmeter_view_backlog,2539,247,245,270,291,327,213,1083,0.0
jmeter_create_issue:open_quick_create,1693,73,69,79,87,130,60,1084,0.0
jmeter_create_issue:fill_and_submit_issue_form,1693,225,219,238,259,305,203,1169,0.0
jmeter_view_project_summary,1693,227,186,331,402,696,156,1120,0.0
jmeter_edit_issue:open_editor,1693,77,75,82,86,109,68,158,0.0
jmeter_edit_issue:save_edit,1692,315,293,384,450,551,246,1178,0.0
jmeter_browse_projects,1692,45,43,48,52,83,39,119,0.0
jmeter_view_kanban_board,1269,190,189,214,237,278,153,1232,0.0
jmeter_view_scrum_board,1269,105,94,127,134,179,84,237,0.0
jmeter_add_comment:open_comment,846,62,58,70,77,124,49,1075,0.0
jmeter_add_comment:save_comment,846,174,171,194,210,254,139,336,0.0
jmeter_browse_boards,846,61,59,65,69,100,53,137,0.0
selenium_login:open_login_page,234,105,101,108,112,120,96,785,0.0
selenium_login:login_and_view_dashboard,234,621,488,1171,1190,1287,413,2095,0.0
selenium_login,234,727,591,1273,1295,1393,512,2881,0.0
selenium_browse_projects_list,234,266,260,318,336,345,219,518,0.0
selenium_browse_boards_list,234,275,259,273,285,749,246,2052,0.0
selenium_create_issue:open_quick_create,234,717,728,763,772,789,625,1138,0.0
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,230,609,606,612,616,626,596,1141,0.0
selenium_create_issue:fill_and_submit_issue_form,234,1213,1146,1193,1228,3472,1052,3510,0.0
selenium_create_issue,234,1931,1870,1945,1967,4110,1688,4147,0.0
selenium_edit_issue:open_edit_issue_form,234,523,500,597,615,695,421,870,0.0
selenium_edit_issue:save_edit_issue_form,234,532,524,576,586,623,487,667,0.0
selenium_edit_issue,234,1481,1473,1527,1539,1752,1405,1890,0.0
selenium_save_comment:open_comment_form,234,359,361,392,421,443,249,454,0.0
selenium_save_comment:submit_form,234,751,741,799,832,934,656,1609,0.0
selenium_save_comment,234,1266,1258,1315,1350,1493,1116,2117,0.0
selenium_search_jql,234,1175,1164,1208,1229,1287,1096,2468,0.0
selenium_view_scrum_board_backlog,234,1073,1258,1312,1327,1357,501,3127,0.0
selenium_view_scrum_board,234,790,778,792,807,880,766,2507,0.0
selenium_view_kanban_board,234,683,687,896,1007,1155,317,1469,0.0
selenium_view_dashboard,234,467,472,664,713,768,208,820,0.0
selenium_view_issue,234,598,597,663,671,756,482,1639,0.0
selenium_project_summary,234,369,364,428,459,496,288,1812,0.0
selenium_log_out,234,339,340,372,384,412,290,466,0.0
