Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %
jmeter_login_and_view_dashboard,200,438,361,478,595,3015,270,4014,0.0
jmeter_view_issue,18201,159,157,180,191,232,100,4317,0.0
jmeter_view_dashboard,5079,229,229,268,279,316,159,1276,0.0
jmeter_search_jql,5502,439,433,481,500,553,349,3105,0.0
jmeter_create_issue:open_quick_create,1693,93,86,104,123,190,70,1117,0.0
jmeter_create_issue:fill_and_submit_issue_form,1693,188,174,233,243,282,129,1016,0.0
jmeter_view_backlog,2540,248,242,290,301,344,177,2931,0.0
jmeter_view_project_summary,1693,170,172,199,209,257,115,425,0.0
jmeter_edit_issue:open_editor,1693,71,70,80,85,107,52,665,0.0
jmeter_edit_issue:save_edit,1693,280,271,353,402,535,176,1090,0.0
jmeter_browse_projects,1693,42,41,46,49,73,31,917,0.0
jmeter_view_kanban_board,1270,196,189,223,237,290,148,1004,0.0
jmeter_view_scrum_board,1270,105,97,132,139,177,66,334,0.0
jmeter_add_comment:open_comment,847,53,51,61,65,105,36,1076,0.0
jmeter_add_comment:save_comment,847,136,129,171,184,214,96,883,0.0
jmeter_browse_boards,846,55,54,62,65,88,41,172,0.0
selenium_login:open_login_page,234,117,104,113,115,128,98,2976,0.0
selenium_login:login_and_view_dashboard,234,510,481,521,535,1255,422,3051,0.0
selenium_login,234,628,588,625,641,1360,524,6029,0.0
selenium_browse_projects_list,234,276,264,326,337,352,220,830,0.0
selenium_browse_boards_list,234,294,263,277,300,778,250,3260,0.0
selenium_create_issue:open_quick_create,234,719,734,764,775,854,628,1235,0.0
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,234,612,607,613,617,628,599,1628,0.0
selenium_create_issue:fill_and_submit_issue_form,234,1156,1154,1194,1207,1230,1049,2255,0.0
selenium_create_issue,234,1875,1878,1941,1962,2049,1689,3491,0.0
selenium_edit_issue:open_edit_issue_form,234,515,498,593,609,665,427,1146,0.0
selenium_edit_issue:save_edit_issue_form,234,533,524,576,590,668,478,762,0.0
selenium_edit_issue,234,1486,1472,1533,1552,1821,1398,2265,0.0
selenium_save_comment:open_comment_form,234,360,363,400,424,453,242,473,0.0
selenium_save_comment:submit_form,234,734,718,787,842,926,602,1595,0.0
selenium_save_comment,234,1255,1241,1316,1374,1710,1091,2133,0.0
selenium_search_jql,234,1193,1181,1214,1233,1272,1114,2940,0.0
selenium_view_scrum_board_backlog,234,1087,1273,1319,1335,1376,773,2679,0.0
selenium_view_scrum_board,234,805,783,862,882,944,766,2580,0.0
selenium_view_kanban_board,234,715,702,959,1072,1487,329,1537,0.0
selenium_view_dashboard,234,445,430,660,693,749,203,815,0.0
selenium_view_issue,234,613,612,689,706,751,479,873,0.0
selenium_project_summary,234,430,420,498,524,565,303,1888,0.0
selenium_log_out,234,341,335,379,388,414,287,455,0.0
