Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %
jmeter_login_and_view_dashboard,200,386,368,428,465,524,319,1710,0.0
jmeter_view_issue,18198,180,163,237,270,367,130,1360,0.0
jmeter_view_dashboard,5079,250,242,285,302,341,196,1293,0.0
jmeter_search_jql,5502,453,445,504,529,573,368,1586,0.0
jmeter_view_backlog,2539,247,239,286,304,342,205,1395,0.0
jmeter_create_issue:open_quick_create,1693,75,69,84,94,126,62,1113,0.0
jmeter_create_issue:fill_and_submit_issue_form,1693,226,221,253,270,297,201,342,0.0
jmeter_view_project_summary,1693,454,406,854,1038,1273,160,1433,0.0
jmeter_edit_issue:open_editor,1693,79,76,85,92,129,67,615,0.0
jmeter_edit_issue:save_edit,1692,319,292,405,473,554,251,1449,0.0
jmeter_browse_projects,1692,45,43,49,54,83,37,107,0.0
jmeter_view_kanban_board,1270,191,180,219,238,275,153,1210,0.0
jmeter_view_scrum_board,1270,107,100,127,136,170,84,228,0.0
jmeter_add_comment:open_comment,847,60,58,66,70,111,49,147,0.0
jmeter_add_comment:save_comment,846,177,166,206,242,339,146,415,0.0
jmeter_browse_boards,846,62,59,64,68,109,53,1060,0.0
selenium_login:open_login_page,229,108,104,114,119,164,97,534,0.0
selenium_login:login_and_view_dashboard,229,906,1131,1215,1258,1297,439,4382,0.0
selenium_login,229,1015,1235,1324,1360,1404,542,4917,0.0
selenium_browse_projects_list,229,254,246,304,320,328,215,409,0.0
selenium_browse_boards_list,229,292,260,276,374,762,249,2265,0.0
selenium_create_issue:open_quick_create,229,723,735,765,782,808,636,1039,0.0
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,225,613,608,616,620,633,597,1631,0.0
selenium_create_issue:fill_and_submit_issue_form,229,1238,1156,1210,1606,3450,1055,3462,0.0
selenium_create_issue,229,1961,1893,1959,2316,4094,1703,4131,0.0
selenium_edit_issue:open_edit_issue_form,229,526,504,602,616,659,423,1119,0.0
selenium_edit_issue:save_edit_issue_form,229,541,530,583,594,632,486,755,0.0
selenium_edit_issue,229,1499,1483,1550,1577,1686,1410,2213,0.0
selenium_save_comment:open_comment_form,229,362,367,397,423,439,195,460,0.0
selenium_save_comment:submit_form,229,779,762,844,870,1016,678,1935,0.0
selenium_save_comment,229,1312,1290,1382,1469,1723,1083,2897,0.0
selenium_search_jql,229,1045,1039,1081,1098,1135,572,1451,0.0
selenium_view_scrum_board_backlog,229,1049,822,1327,1333,1366,772,2792,0.0
selenium_view_scrum_board,229,790,781,792,799,850,519,2560,0.0
selenium_view_kanban_board,229,703,717,965,1018,1274,317,1353,0.0
selenium_view_dashboard,229,453,439,656,684,761,218,864,0.0
selenium_view_issue,229,614,606,671,692,770,471,1559,0.0
selenium_project_summary,229,388,388,454,473,503,286,1955,0.0
selenium_log_out,229,321,313,345,357,380,277,1195,0.0
